Комментарий к вопросу  1. Какие причины (факторы) сформировали ваше решение уйти из компании (выберите не более 3-х).,"Комментарий к вопросу 1.1 Есть ли еще дополнительные причины, которые повлияли на ваше решение уйти из компании (выберите не более 3-х ).",Комментарий к вопросу 2 Рассматриваете ли вы возможность остаться в компании/перевестись внутри отрасли?,Комментарий к вопросу 3 Рассматриваете ли вы возможность возвращения в компанию?,Комментарий к вопросу 4 Готовы ли вы рекомендовать компанию как работодателя?
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Релокация в г. Москва""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Переезд в другой город""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Переезд в другую страну""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Личные/семейные обстоятельства"", ""Условия труда"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Переезд в другую страну""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Другие причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""График работы"", ""Условия труда"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"Что-то в вашем вопросе меня смущает. Может, поговорим на другую тему?","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Переезд в другой город""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Взаимоотношения в коллективе"", ""Условия труда"", ""График работы"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Переезд в другую страну""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""График работы""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Здоровье"", ""Переезд"", ""Другие причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Место нахождения организации""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Смена профессии/ другая сфера деятельности""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""",,,
"""Условия труда"", ""График работы"", ""Личностные причины""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Карьерные перспективы""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Управление и руководство""","""Другие причины""",,,
"""Управление и руководство""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Переезд""","""Другие причины""",,,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Переезд""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Зарплата"", ""Карьерные перспективы""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Условия труда"", ""График работы"", ""Стресс""","""Другие причины""",,,
"""Карьерные перспективы""","""Другие причины""",,,
"""Условия труда"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Зарплата"", ""Условия труда""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Зарплата"", ""Карьерные перспективы""","""Другие причины""",,,
"""График работы"", ""Условия труда""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""",,,
"""Релокация в АРЕ""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Зарплата"", ""Условия труда""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда"", ""Личностные причины""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Другие причины""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Другие причины""","""Другие причины""",,,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Переезд""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Взаимоотношения в коллективе""","""Другие причины""",,,
"""Карьерные перспективы""","""Другие причины""",,,
"""Другие причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""График работы"", ""Условия труда""","""Другие причины""",,,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Условия труда"", ""Личностные причины""","""Другие причины""",,,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""",,,
"""Управление и руководство"", ""Условия труда""","""Другие причины""",,,
"""Другие причины""","""Другие причины""",,,
"""Зарплата"", ""Условия труда""","""Другие причины""",,,
"""Карьерные перспективы"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Условия труда""","""Другие причины""",,,
"""Зарплата""","""Другие причины""",,,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""",,,
"""Зарплата"", ""Карьерные перспективы""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Зарплата"", ""Условия труда""","""Другие причины""",,,
"""Карьерные перспективы""","""Другие причины""",,,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""",,,
"""Личностные причины""","""Другие причины""",,,
"""Переезд в другой город""","""Другие причины""",,,
